Platform,Video Topic,Video URL (Placeholder),SEO Title / Hook,Caption,Hashtags,Targeted Affiliate Tool
TikTok,Mindset Shift,https://github.com/.../clip1.mp4,You won't believe what the 1% do... ğŸ¤« #WealthTok,"If you're still trading time for money, stop scrolling. ğŸ›‘ This is the shift you need to make in 2026. Link in bio.",#wealth #mindset #entrepreneur #viral,Reclaim.ai (Productivity)
Instagram,Mindset Shift,https://github.com/.../clip1.mp4,The 1% Mindset Hack,Save this for when you feel stuck. ğŸ’¾ Success isn't about working harder; it's about systems. Maximize your output with the right tools. Link in caption.,#successmindset #productivity #growth #business,Reclaim.ai (Productivity)
YouTube Shorts,Mindset Shift,https://github.com/.../clip1.mp4,How to Master Your Mindset in 2026 ğŸ§ ,The secret to scaling isn't just hard work. It's about reclaiming your time. Watch this to learn how.,#shorts #mindset #motivation,Reclaim.ai (Productivity)
X (Twitter),Mindset Shift,https://github.com/.../clip1.mp4,Unpopular Opinion: 9-5 is dead.,Hard work is overrated. Smart work is the only way to 10x your life. ğŸ§µ,#leverage #futureofwork,Reclaim.ai (Productivity)
Facebook,Mindset Shift,https://github.com/.../clip1.mp4,The mindset change that changed everything.,Tag a friend who needs to hear this! We are building a community of winners. Join us.,#community #success,Reclaim.ai (Productivity)
TikTok,Wealth Building,https://github.com/.../clip2.mp4,The secret money hack they don't teach you ğŸ¤‘ #WealthTok,Stop saving. Start investing in YOU. ğŸ’¸ This is how the rich get richer. Check the link.,#money #investing #rich #finance,HubSpot (Marketing)
Instagram,Wealth Building,https://github.com/.../clip2.mp4,Wealth is a Formula ğŸ§ª,Don't just guess. Use data to drive your wealth. Marketing and sales are the lifeblood of any empire. Learn the tools of the trade. ğŸ“‰,#marketing #sales #hubspot #wealth,HubSpot (Marketing)
YouTube Shorts,Wealth Building,https://github.com/.../clip2.mp4,How to Build Wealth in 2026 ğŸ’°,You need a system to capture value. Stop leaving money on the table.,#shorts #business #money,HubSpot (Marketing)
X (Twitter),Wealth Building,https://github.com/.../clip2.mp4,Money likes speed.,If you aren't capturing leads, you aren't building a business. You're just making noise.,#business #growth,HubSpot (Marketing)
Facebook,Wealth Building,https://github.com/.../clip2.mp4,Are you ready to build an empire?,Share this with your business partner. It's time to scale up! ğŸš€,#scale #businessowner,HubSpot (Marketing)
TikTok,Automation,https://github.com/.../clip3.mp4,Robot vs Human: Who wins? ğŸ¤– #TechTok,Automate or die. That's the rule of 2026. See how I run my biz on autopilot. ğŸ”—,#automation #ai #tech #future,Ayrshare (Automation)
Instagram,Automation,https://github.com/.../clip3.mp4,Put Your Business on Autopilot âœˆï¸,Imagine making money while you sleep. Automation makes it possible. consistent posting is key. ğŸ”‘,#socialmedia #automation #passiveincome,Ayrshare (Automation)
YouTube Shorts,Automation,https://github.com/.../clip3.mp4,How to Automate Social Media in 2026 ğŸ“²,Stop posting manually. Use the power of API automation to dominate the feed.,#shorts #socialmediamarketing #automation,Ayrshare (Automation)
X (Twitter),Automation,https://github.com/.../clip3.mp4,I haven't posted manually in 3 years.,Automation is the ultimate leverage. If you're clicking 'post', you're wasting time.,#automation #devtools,Ayrshare (Automation)
Facebook,Automation,https://github.com/.../clip3.mp4,The future of posting is here.,Share this if you're tired of the social media grind! Let the bots do the work. ğŸ¤–,#socialmediahelp #marketingtips,Ayrshare (Automation)
